site_id|site_name|tower_began|tower_end|location_lat|location_long|location_elev|igbp|climate_koeppen|mat|map|site_id|site_name|tower_began|tower_end|location_lat|location_long|location_elev|mat|map|climate_koeppen|site_years|online_data
US-KFS|Kansas Field Station|2007||39.0561|-95.1907|310.00|GRA|Cfa|12.00|1014|US-KFS|Kansas Field Station|2007|NA|39.0561|-95.1907|310|12|1014|Cfa|NA|yes
US-KL1|KBS Lux Arbor Reserve Corn|2009||42.4847|-85.4422|288.00|CRO|Dfa|9.90|1027|US-KL1|KBS Lux Arbor Reserve Corn|2009|NA|42.4847|-85.4422|288|9.9|1027|Dfa|NA|no
US-KL2|KBS Lux Arbor Reserve Switchgrass|2009||42.4767|-85.4467|288.00|GRA|Dfa|9.90|1027|US-KL2|KBS Lux Arbor Reserve Switchgrass|2009|NA|42.4767|-85.4467|288|9.9|1027|Dfa|NA|no
US-KL3|KBS Lux Arbor Reserve Prairie|2009||42.4736|-85.4474|288.00|GRA|Dfa|9.90|1027|US-KL3|KBS Lux Arbor Reserve Prairie|2009|NA|42.4736|-85.4474|288|9.9|1027|Dfa|NA|no
US-KLS|Kansas Land Institute|2012||38.7745|-97.5684|373.00|GRA|Cfa|12.00|812|US-KLS|Kansas Land Institute|2012|NA|38.7745|-97.5684|373|12|812|Cfa|NA|no
US-KM1|KBS Marshall Farms Corn|2009||42.4376|-85.3288|288.00|CRO|Dfa|9.90|1027|US-KM1|KBS Marshall Farms Corn|2009|NA|42.4376|-85.3288|288|9.9|1027|Dfa|NA|no
US-KM2|KBS Marshall Farms Prairie|2009||42.4440|-85.3104|288.00|GRA|Dfa|9.90|1027|US-KM2|KBS Marshall Farms Prairie|2009|NA|42.444|-85.3104|288|9.9|1027|Dfa|NA|no
US-KM3|KBS Marshall Farms Switchgrass|2009||42.4440|-85.3098|288.00|GRA|Dfa|9.90|1027|US-KM3|KBS Marshall Farms Switchgrass|2009|NA|42.444|-85.3098|288|9.9|1027|Dfa|NA|no
US-KM4|KBS Marshall Farms Smooth Brome Grass (Ref)|2009||42.4423|-85.3301|288.00|GRA|Dfa|9.90|1027|US-KM4|KBS Marshall Farms Smooth Brome Grass (Ref)|2009|NA|42.4423|-85.3301|288|9.9|1027|Dfa|NA|no
US-Kon|Konza Prairie LTER (KNZ)|2006||39.0824|-96.5603|330.00|GRA|Cfa|12.77|867|US-Kon|Konza Prairie LTER (KNZ)|2006|NA|39.0824|-96.5603|330|12.77|867|Cfa|NA|yes
US-KS1|Kennedy Space Center (slash pine)|2002|2002|28.4583|-80.6709|1.00|ENF|Cfa|21.90|1266|US-KS1|Kennedy Space Center (slash pine)|2002|2002|28.4583|-80.6709|1|21.9|1266|Cfa|1|yes
US-KS2|Kennedy Space Center (scrub oak)|2000|2006|28.6086|-80.6715|3.00|CSH|Cfa|21.66|1294|US-KS2|Kennedy Space Center (scrub oak)|2000|2006|28.6086|-80.6715|3|21.66|1294|Cfa|7|yes
US-KUO|KUOM tower|2006|2009|44.9984|-93.1884|301.00|URB|Dfa|7.90|777|US-KUO|KUOM tower|2006|2009|44.9984|-93.1884|301|7.9|777|Dfa|4|no
US-KUT|KUOM Turfgrass Field|2005|2009|44.9950|-93.1863|301.00|GRA|Dfa|7.90|777|US-KUT|KUOM Turfgrass Field|2005|2009|44.995|-93.1863|301|7.9|777|Dfa|5|yes
US-LGr|Lockney Grassland|2013||34.1377|-101.4787|1026.00|GRA|Bsh|15.00|450|US-LGr|Lockney Grassland|2013|NA|34.1377|-101.4787|1026|15|450|Bsh|NA|no
US-Lin|Lindcove Orange Orchard|2012||36.3566|-119.8423|131.00|CRO||||US-Lin|Lindcove Orange Orchard|2012|NA|36.3566|-119.8423|131|NA|NA|NA|NA|no
US-Los|Lost Creek|2001||46.0827|-89.9792|480.00|WET|Dfb|4.08|828|US-Los|Lost Creek|2001|NA|46.0827|-89.9792|480|4.08|828|Dfb|NA|yes
US-LPH|Little Prospect Hill|2002||42.5419|-72.1850|377.50|DBF|Dfb|6.73|1071|US-LPH|Little Prospect Hill|2002|NA|42.5419|-72.185|377.5|6.73|1071|Dfb|NA|yes
US-LWW|Little Washita Watershed|1997|1998|34.9604|-97.9789|365.00|GRA|Cfa|16.09|805|US-LWW|Little Washita Watershed|1997|1998|34.9604|-97.9789|365|16.09|805|Cfa|2|yes
US-Me1|Metolius - Eyerly burn|2004|2005|44.5794|-121.5000|896.00|ENF|Csb|7.88|705|US-Me1|Metolius - Eyerly burn|2004|2005|44.5794|-121.5|896|7.88|705|Csb|2|yes
US-Me2|Metolius-intermediate aged ponderosa pine|2002||44.4523|-121.5574|1253.00|ENF|Csb|6.28|523|US-Me2|Metolius-intermediate aged ponderosa pine|2002|NA|44.4523|-121.5574|1253|6.28|523|Csb|NA|yes
US-Me3|Metolius-second young aged pine|2004|2009|44.3154|-121.6078|1005.00|ENF|Csb|7.07|719|US-Me3|Metolius-second young aged pine|2004|2009|44.3154|-121.6078|1005|7.07|719|Csb|6|yes
US-Me4|Metolius-old aged ponderosa pine|1996|2000|44.4992|-121.6224|922.00|ENF|Csb|7.61|1039|US-Me4|Metolius-old aged ponderosa pine|1996|2000|44.4992|-121.6224|922|7.61|1039|Csb|5|yes
US-Me5|Metolius-first young aged pine|1999|2002|44.4372|-121.5668|1188.00|ENF|Csb|6.47|591|US-Me5|Metolius-first young aged pine|1999|2002|44.4372|-121.5668|1188|6.47|591|Csb|4|yes
US-Me6|Metolius Young Pine Burn|2010||44.3233|-121.6078|998.00|ENF|Csb|7.59|494|US-Me6|Metolius Young Pine Burn|2010|NA|44.3233|-121.6078|998|7.59|494|Csb|NA|yes
US-MMS|Morgan Monroe State Forest|1999||39.3232|-86.4131|275.00|DBF|Cfa|10.85|1032|US-MMS|Morgan Monroe State Forest|1999|NA|39.3232|-86.4131|275|10.85|1032|Cfa|NA|yes
US-MOz|Missouri Ozark Site|2004||38.7441|-92.2000|219.40|DBF|Cfa|12.11|986|US-MOz|Missouri Ozark Site|2004|NA|38.7441|-92.2|219.4|12.11|986|Cfa|NA|yes
US-Mpj|Pinon-juniper site (Mountainair)|2007||34.4384|-106.2377|2138.00|OSH||14.80|418|US-Mpj|Pinon-juniper site (Mountainair)|2007|NA|34.4384|-106.2377|2138|14.8|418|NA|NA|yes
US-MRf|Mary's River (Fir)  site|2005||44.6465|-123.5515|263.00|ENF|Csb|10.24|1820|US-MRf|Mary's River (Fir)  site|2005|NA|44.6465|-123.5515|263|10.24|1820|Csb|NA|yes
US-Myb|Mayberry Wetland|2010||38.0498|-121.7651|-1.00|WET|Csa|15.90|338|US-Myb|Mayberry Wetland|2010|NA|38.0498|-121.7651|-1|15.9|338|Csa|NA|yes
US-NC1|NC_Clearcut|2005|2013|35.8118|-76.7119|5.00|ENF|Cfa|16.60|1320|US-NC1|NC_Clearcut|2005|2013|35.8118|-76.7119|5|16.6|1320|Cfa|9|yes
US-NC2|NC_Loblolly Plantation|2005||35.8030|-76.6685|5.00|ENF|Cfa|16.60|1320|US-NC2|NC_Loblolly Plantation|2005|NA|35.803|-76.6685|5|16.6|1320|Cfa|NA|yes
US-NC3|NC_Clearcut#3|2013||35.7990|-76.6560|5.00|ENF|Cfa|16.60|1320|US-NC3|NC_Clearcut#3|2013|NA|35.799|-76.656|5|16.6|1320|Cfa|NA|no
US-NC4|NC_AlligatorRiver|2009|2012|35.7879|-75.9038|1.00|WET|Cfa|16.60|1311|US-NC4|NC_AlligatorRiver|2009|2012|35.7879|-75.9038|1|16.6|1311|Cfa|4|no
US-Ne1|Mead - irrigated continuous maize site|2001||41.1651|-96.4766|361.00|CRO|Dfa|10.07|790|US-Ne1|Mead - irrigated continuous maize site|2001|NA|41.1651|-96.4766|361|10.07|790|Dfa|NA|yes
US-Ne2|Mead - irrigated maize-soybean rotation site|2001||41.1649|-96.4701|362.00|CRO|Dfa|10.08|789|US-Ne2|Mead - irrigated maize-soybean rotation site|2001|NA|41.1649|-96.4701|362|10.08|789|Dfa|NA|yes
US-Ne3|Mead - rainfed maize-soybean rotation site|2001||41.1797|-96.4397|363.00|CRO|Dfa|10.11|784|US-Ne3|Mead - rainfed maize-soybean rotation site|2001|NA|41.1797|-96.4397|363|10.11|784|Dfa|NA|yes
US-NGB|NGEE Barrow|2012||71.2800|-156.6092|5.27|SNO|ET|-11.27|171|US-NGB|NGEE Barrow|2012|NA|71.28|-156.6092|5.27|-11.27|171|ET|NA|no
US-NMj|Northern Michigan Jack Pine Stand|2001|2007|46.6465|-88.5194|394.00|ENF|Dfb|4.73|854|US-NMj|Northern Michigan Jack Pine Stand|2001|2007|46.6465|-88.5194|394|4.73|854|Dfb|7|yes
US-NR1|Niwot Ridge Forest (LTER NWT1)|1998||40.0329|-105.5464|3050.00|ENF|Dfc|1.50|800|US-NR1|Niwot Ridge Forest (LTER NWT1)|1998|NA|40.0329|-105.5464|3050|1.5|800|Dfc|NA|yes
US-Oho|Oak Openings|2004|2013|41.5545|-83.8438|230.00|DBF|Dfa|10.10|849|US-Oho|Oak Openings|2004|2013|41.5545|-83.8438|230|10.1|849|Dfa|10|yes
US-ORv|Olentangy River Wetland Research Park|2011||40.0201|-83.0183|221.00|WET|Cfa|11.63|1499|US-ORv|Olentangy River Wetland Research Park|2011|NA|40.0201|-83.0183|221|11.63|1499|Cfa|NA|yes
US-OWC|Old Woman Creek|2015||41.3795|-82.5125|174.00|WET|Dfb|10.70|930|US-OWC|Old Woman Creek|2015|NA|41.3795|-82.5125|174|10.7|930|Dfb|NA|no
US-PFa|Park Falls/WLEF|1996||45.9459|-90.2723|470.00|MF|Dfb|4.33|823|US-PFa|Park Falls/WLEF|1996|NA|45.9459|-90.2723|470|4.33|823|Dfb|NA|yes
US-Pon|Ponca City|1997|2001|36.7667|-97.1333|310.00|CRO|Cfa|14.94|866|US-Pon|Ponca City|1997|2001|36.7667|-97.1333|310|14.94|866|Cfa|5|yes
US-Prr|Poker Flat Research Range Black Spruce Forest|2011||65.1237|-147.4876|210.00|ENF|Dwc|-2.00|275|US-Prr|Poker Flat Research Range Black Spruce Forest|2011|NA|65.1237|-147.4876|210|-2|275|Dwc|NA|yes
US-Ro1|Rosemount- G21|2002||44.4254|-93.0523|290.00|CRO|Dfa|6.40|879|US-Ro1|Rosemount- G21|2002|NA|44.4254|-93.0523|290|6.4|879|Dfa|NA|yes
US-Ro2|Rosemount- C7|2003||44.7288|-93.0523|292.00|CRO|Dfa|6.40|879|US-Ro2|Rosemount- C7|2003|NA|44.7288|-93.0523|292|6.4|879|Dfa|NA|no
US-Ro3|Rosemount- G19|2003|2010|44.7217|-93.0893|260.00|CRO|Dfa|6.40|879|US-Ro3|Rosemount- G19|2003|2010|44.7217|-93.0893|260|6.4|879|Dfa|8|yes
US-Ro4|Rosemount Prairie|2014||44.4041|-93.4201|274.00|GRA|Dfa|6.40|879|US-Ro4|Rosemount Prairie|2014|NA|44.4041|-93.4201|274|6.4|879|Dfa|NA|no
US-SBC|Sweet Briar Land-Atmosphere Research Station|2015||37.5734|-79.0848|242.00|ENF|Cfa|||US-SBC|Sweet Briar Land-Atmosphere Research Station|2015|NA|37.5734|-79.0848|242|NA|NA|Cfa|NA|no
US-SCc|Southern California Climate Gradient - Desert Chaparral|2007||33.6094|-116.4505|1280.00|OSH||||US-SCc|Southern California Climate Gradient - Desert Chaparral|2007|NA|33.6094|-116.4505|1280|NA|NA|NA|NA|no
US-SCd|Southern California Climate Gradient - Sonoran Desert|2007||33.8167|-116.3725|62.00|BSV||||US-SCd|Southern California Climate Gradient - Sonoran Desert|2007|NA|33.8167|-116.3725|62|NA|NA|NA|NA|no
US-SCf|Southern California Climate Gradient - Oak/Pine Forest|2007||33.8080|-116.4527|1770.00|MF||||US-SCf|Southern California Climate Gradient - Oak/Pine Forest|2007|NA|33.808|-116.4527|1770|NA|NA|NA|NA|no
US-SCg|Southern California Climate Gradient - Grassland|2007||33.7364|-117.6947|451.00|GRA||||US-SCg|Southern California Climate Gradient - Grassland|2007|NA|33.7364|-117.6947|451|NA|NA|NA|NA|no
US-SCm|Southern California Climate Gradient Sierran Mixed Conifer|2008||37.0678|-119.1944|2014.00|ENF||||US-SCm|Southern California Climate Gradient Sierran Mixed Conifer|2008|NA|37.0678|-119.1944|2014|NA|NA|NA|NA|no
US-SCs|Southern California Climate Gradient - Coastal Sage|2007||33.7342|-117.6961|320.00|OSH||||US-SCs|Southern California Climate Gradient - Coastal Sage|2007|NA|33.7342|-117.6961|320|NA|NA|NA|NA|no
US-SCw|Southern California Climate Gradient - Pinyon/Juniper Woodland|2007||33.6047|-116.4527|1281.00|OSH||||US-SCw|Southern California Climate Gradient - Pinyon/Juniper Woodland|2007|NA|33.6047|-116.4527|1281|NA|NA|NA|NA|no
US-SdH|Nebraska SandHills Dry Valley|2004||42.0693|-101.4072|1081.00|GRA|Dsb|||US-SdH|Nebraska SandHills Dry Valley|2004|NA|42.0693|-101.4072|1081|NA|NA|Dsb|NA|no
US-SDU|South Denver Urban Tower|2010|2014|39.6594|-105.0127|1618.00|URB|Bsk|10.04|406|US-SDU|South Denver Urban Tower|2010|2014|39.6594|-105.0127|1618|10.04|406|Bsk|5|no
US-Seg|Sevilleta (LTER desert grassland)|2007||34.3623|-106.7019|1622.00|GRA|Bsk||250|US-Seg|Sevilleta (LTER desert grassland)|2007|NA|34.3623|-106.7019|1622|NA|250|Bsk|NA|yes
US-Ses|Sevilleta (LTER desert shrubland)|2007||34.3349|-106.7442|1593.00|OSH|Bsk|17.70|250|US-Ses|Sevilleta (LTER desert shrubland)|2007|NA|34.3349|-106.7442|1593|17.7|250|Bsk|NA|yes
US-SFP|Sioux Falls Portable|2007||43.2408|-96.9020|386.00|CRO||||US-SFP|Sioux Falls Portable|2007|NA|43.2408|-96.902|386|NA|NA|NA|NA|yes
US-Shd|Shidler- Oklahoma|1997|2001|36.9333|-96.6833|346.00|GRA|Cfa|14.32|898|US-Shd|Shidler- Oklahoma|1997|2001|36.9333|-96.6833|346|14.32|898|Cfa|5|yes
US-SJ1|San Joaquin (Freshwater Marsh Tower 1)|1999||33.6600|-117.8500|3.00|WET||||US-SJ1|San Joaquin (Freshwater Marsh Tower 1)|1999|NA|33.66|-117.85|3|NA|NA|NA|NA|no
US-SJ2|San Joaquin (Freshwater Marsh Tower 2)|2003||33.6600|-117.8500|3.00|WET||||US-SJ2|San Joaquin (Freshwater Marsh Tower 2)|2003|NA|33.66|-117.85|3|NA|NA|NA|NA|no
US-Skr|Shark River Slough (Tower SRS-6)  Everglades|2004||25.3629|-81.0776|0.00|EBF|Cwa|23.77|1259|US-Skr|Shark River Slough (Tower SRS-6)  Everglades|2004|NA|25.3629|-81.0776|0|23.77|1259|Cwa|NA|yes
US-Slt|Silas Little- New Jersey|2004||39.9138|-74.5960|30.00|DBF|Dfa|11.04|1138|US-Slt|Silas Little- New Jersey|2004|NA|39.9138|-74.596|30|11.04|1138|Dfa|NA|yes
US-Snd|Sherman Island|2007||38.0373|-121.7537|-5.00|GRA|Csa|15.60|358|US-Snd|Sherman Island|2007|NA|38.0373|-121.7537|-5|15.6|358|Csa|NA|yes
US-SO2|Sky Oaks- Old Stand|1997||33.3739|-116.6229|1394.00|CSH|Csa|13.63|553|US-SO2|Sky Oaks- Old Stand|1997|NA|33.3739|-116.6229|1394|13.63|553|Csa|NA|yes
US-SO3|Sky Oaks- Young Stand|1997||33.3772|-116.6227|1429.00|CSH|Csa|13.29|576|US-SO3|Sky Oaks- Young Stand|1997|NA|33.3772|-116.6227|1429|13.29|576|Csa|NA|yes
US-SO4|Sky Oaks- New Stand|2004||33.3844|-116.6403|1429.00|CSH|Csa|||US-SO4|Sky Oaks- New Stand|2004|NA|33.3844|-116.6403|1429|NA|NA|Csa|NA|yes
US-SP1|Slashpine-Austin Cary- 65yrs nat regen|2000||29.7381|-82.2188|50.00|ENF|Cfa|20.06|1310|US-SP1|Slashpine-Austin Cary- 65yrs nat regen|2000|NA|29.7381|-82.2188|50|20.06|1310|Cfa|NA|yes
US-SP2|Slashpine-Mize-clearcut-3yr,regen|1998|2008|29.7648|-82.2448|50.00|ENF|Cfa|20.07|1314|US-SP2|Slashpine-Mize-clearcut-3yr,regen|1998|2008|29.7648|-82.2448|50|20.07|1314|Cfa|11|yes
US-SP3|Slashpine-Donaldson-mid-rot- 12yrs|1999||29.7548|-82.1633|50.00|ENF|Cfa|20.25|1312|US-SP3|Slashpine-Donaldson-mid-rot- 12yrs|1999|NA|29.7548|-82.1633|50|20.25|1312|Cfa|NA|yes
US-SP4|Slashpine-Rayonier-mid-rot- 12yrs|1998|1998|29.8028|-82.2032|47.00|ENF|Cfa|20.00|1320|US-SP4|Slashpine-Rayonier-mid-rot- 12yrs|1998|1998|29.8028|-82.2032|47|20|1320|Cfa|1|yes
US-SRC|Santa Rita Creosote|2008||31.9083|-110.8395|991.00|OSH||||US-SRC|Santa Rita Creosote|2008|NA|31.9083|-110.8395|991|NA|NA|NA|NA|yes
US-SRG|Santa Rita Grassland|2008||31.7894|-110.8277|1291.00|GRA|Bsk|17.00|420|US-SRG|Santa Rita Grassland|2008|NA|31.7894|-110.8277|1291|17|420|Bsk|NA|yes
US-SRM|Santa Rita Mesquite|2004||31.8214|-110.8661|1120.00|WSA|Bsk|17.92|380|US-SRM|Santa Rita Mesquite|2004|NA|31.8214|-110.8661|1120|17.92|380|Bsk|NA|yes
US-Sta|Saratoga|2006|2009|41.3966|-106.8024|2069.00|OSH|Bsh|5.10||US-Sta|Saratoga|2006|2009|41.3966|-106.8024|2069|5.1|NA|Bsh|4|yes
US-StJ|St Jones Reserve|2015||39.0882|-75.4372|6.70|WET|Cfa|13.50|1121|US-StJ|St Jones Reserve|2015|NA|39.0882|-75.4372|6.7|13.5|1121|Cfa|NA|no
US-SuM|Maui Sugarcane Middle|2013|2013|20.7981|-156.4540|21.00|CRO|Aw|24.10|287|US-SuM|Maui Sugarcane Middle|2013|2013|20.7981|-156.454|21|24.1|287|Aw|1|yes
US-SuS|Maui Sugarcane Lee/Sheltered|2011|2013|20.7847|-156.4039|203.00|CRO|Aw|24.40|334|US-SuS|Maui Sugarcane Lee/Sheltered|2011|2013|20.7847|-156.4039|203|24.4|334|Aw|3|yes
US-SuW|Maui Sugarcane Windy|2011|2013|20.8246|-156.4913|44.00|CRO|Aw|24.40|366|US-SuW|Maui Sugarcane Windy|2011|2013|20.8246|-156.4913|44|24.4|366|Aw|3|yes
US-Syv|Sylvania Wilderness Area|2001||46.2420|-89.3477|540.00|MF|Dfb|3.81|826|US-Syv|Sylvania Wilderness Area|2001|NA|46.242|-89.3477|540|3.81|826|Dfb|NA|yes
US-Ton|Tonzi Ranch|2001||38.4316|-120.9660|177.00|WSA|Csa|15.80|559|US-Ton|Tonzi Ranch|2001|NA|38.4316|-120.966|177|15.8|559|Csa|NA|yes
US-Tw1|Twitchell Wetland West Pond|2012||38.1074|-121.6469|-9.00|WET|Csa|15.50|421|US-Tw1|Twitchell Wetland West Pond|2012|NA|38.1074|-121.6469|-9|15.5|421|Csa|NA|yes
US-Tw2|Twitchell Corn|2012|2013|38.1047|-121.6433|-5.00|CRO|Csa|15.50|421|US-Tw2|Twitchell Corn|2012|2013|38.1047|-121.6433|-5|15.5|421|Csa|2|yes
US-Tw3|Twitchell Alfalfa|2013||38.1159|-121.6467|-9.00|CRO|Csa|15.60|421|US-Tw3|Twitchell Alfalfa|2013|NA|38.1159|-121.6467|-9|15.6|421|Csa|NA|yes
US-Tw4|Twitchell East End Wetland|2013||38.1030|-121.6414|-5.00|WET|Csa|15.60|421|US-Tw4|Twitchell East End Wetland|2013|NA|38.103|-121.6414|-5|15.6|421|Csa|NA|no
US-Twt|Twitchell Island|2009||38.1087|-121.6530||CRO|Csa|15.60|421|US-Twt|Twitchell Island|2009|NA|38.1087|-121.653|NA|15.6|421|Csa|NA|yes
US-ULM|ULM Flux Tower|2013||32.4570|-91.9743|20.00|DBF|Cfa|18.77|1356|US-ULM|ULM Flux Tower|2013|NA|32.457|-91.9743|20|18.77|1356|Cfa|NA|no
US-UM3|Douglas Lake|2013|2014|45.5686|-84.6707|234.00|WAT|Dfb|5.83|803|US-UM3|Douglas Lake|2013|2014|45.5686|-84.6707|234|5.83|803|Dfb|2|no
US-UMB|Univ. of Mich. Biological Station|1999||45.5598|-84.7138|234.00|DBF|Dfb|5.83|803|US-UMB|Univ. of Mich. Biological Station|1999|NA|45.5598|-84.7138|234|5.83|803|Dfb|NA|yes
US-UMd|UMBS Disturbance|2007||45.5625|-84.6975|239.00|DBF|Dfb|5.83|803|US-UMd|UMBS Disturbance|2007|NA|45.5625|-84.6975|239|5.83|803|Dfb|NA|yes
US-Upa|Upad|1993|1994|70.2815|-148.8848|5.00|WET|Dsc|-13.57|124|US-Upa|Upad|1993|1994|70.2815|-148.8848|5|-13.57|124|Dsc|2|yes
US-Var|Vaira Ranch- Ione|2000||38.4133|-120.9507|129.00|GRA|Csa|15.80|559|US-Var|Vaira Ranch- Ione|2000|NA|38.4133|-120.9507|129|15.8|559|Csa|NA|yes
US-Vcm|Valles Caldera National Preserve (Mixed Conifer)|2007||35.8884|-106.5321|3003.00|ENF|Dfb|6.40|646|US-Vcm|Valles Caldera National Preserve (Mixed Conifer)|2007|NA|35.8884|-106.5321|3003|6.4|646|Dfb|NA|yes
US-Vcp|Valles Caldera National Preserve (Ponderosa pine)|2007||35.8624|-106.5974|2542.00|ENF|Dfb|9.80|550|US-Vcp|Valles Caldera National Preserve (Ponderosa pine)|2007|NA|35.8624|-106.5974|2542|9.8|550|Dfb|NA|yes
US-WBW|Walker Branch Watershed|1995|1999|35.9588|-84.2874|283.00|DBF|Cfa|13.71|1372|US-WBW|Walker Branch Watershed|1995|1999|35.9588|-84.2874|283|13.71|1372|Cfa|5|yes
US-WCr|Willow Creek|1999||45.8059|-90.0799|520.00|DBF|Dfb|4.02|787|US-WCr|Willow Creek|1999|NA|45.8059|-90.0799|520|4.02|787|Dfb|NA|yes
US-Wdn|Walden|2006|2008|40.7838|-106.2618|2469.00|OSH|Bsh|3.30||US-Wdn|Walden|2006|2008|40.7838|-106.2618|2469|3.3|NA|Bsh|3|yes
US-Whs|Walnut Gulch Lucky Hills Shrub|2007||31.7438|-110.0522|1370.00|OSH|Bsk|17.60|320|US-Whs|Walnut Gulch Lucky Hills Shrub|2007|NA|31.7438|-110.0522|1370|17.6|320|Bsk|NA|yes
US-Wi0|Young red pine (YRP)|2002|2002|46.6188|-91.0814|349.00|ENF|Dfb|||US-Wi0|Young red pine (YRP)|2002|2002|46.6188|-91.0814|349|NA|NA|Dfb|1|yes
US-Wi1|Intermediate hardwood (IHW)|2003|2003|46.7305|-91.2329|352.00|DBF|Dfb|||US-Wi1|Intermediate hardwood (IHW)|2003|2003|46.7305|-91.2329|352|NA|NA|Dfb|1|yes
US-Wi2|Intermediate red pine (IRP)|2003|2003|46.6869|-91.1528|395.00|ENF|Dfb|||US-Wi2|Intermediate red pine (IRP)|2003|2003|46.6869|-91.1528|395|NA|NA|Dfb|1|yes
US-Wi3|Mature hardwood (MHW)|2002|2004|46.6347|-91.0987|411.00|DBF|Dfb|||US-Wi3|Mature hardwood (MHW)|2002|2004|46.6347|-91.0987|411|NA|NA|Dfb|3|yes
US-Wi4|Mature red pine (MRP)|2002|2005|46.7393|-91.1663|352.00|ENF|Dfb|||US-Wi4|Mature red pine (MRP)|2002|2005|46.7393|-91.1663|352|NA|NA|Dfb|4|yes
US-Wi5|Mixed young jack pine (MYJP)|2004|2004|46.6531|-91.0858|353.00|ENF|Dfb|||US-Wi5|Mixed young jack pine (MYJP)|2004|2004|46.6531|-91.0858|353|NA|NA|Dfb|1|yes
US-Wi6|Pine barrens #1 (PB1)|2002|2002|46.6249|-91.2982|371.00|OSH|Dfb|||US-Wi6|Pine barrens #1 (PB1)|2002|2002|46.6249|-91.2982|371|NA|NA|Dfb|1|yes
US-Wi7|Red pine clearcut (RPCC)|2005|2005|46.6491|-91.0693|335.00|OSH|Dfb|||US-Wi7|Red pine clearcut (RPCC)|2005|2005|46.6491|-91.0693|335|NA|NA|Dfb|1|yes
US-Wi8|Young hardwood clearcut (YHW)|2002|2002|46.7223|-91.2524|348.00|DBF|Dfb|||US-Wi8|Young hardwood clearcut (YHW)|2002|2002|46.7223|-91.2524|348|NA|NA|Dfb|1|yes
US-Wi9|Young Jack pine (YJP)|2004|2005|46.6188|-91.0814|350.00|ENF|Dfb|||US-Wi9|Young Jack pine (YJP)|2004|2005|46.6188|-91.0814|350|NA|NA|Dfb|2|yes
US-Wjs|Juniper savanna site (Willard)|2007||34.4255|-105.8615|1926.00|OSH|Bsk|15.20|361|US-Wjs|Juniper savanna site (Willard)|2007|NA|34.4255|-105.8615|1926|15.2|361|Bsk|NA|yes
US-Wkg|Walnut Gulch Kendall Grasslands|2004||31.7365|-109.9419|1531.00|GRA|Bsk|15.64|407|US-Wkg|Walnut Gulch Kendall Grasslands|2004|NA|31.7365|-109.9419|1531|15.64|407|Bsk|NA|yes
US-Wlr|Walnut River Watershed (Smileyburg)|2001|2004|37.5208|-96.8550|408.00|GRA|Cfa|13.52|881|US-Wlr|Walnut River Watershed (Smileyburg)|2001|2004|37.5208|-96.855|408|13.52|881|Cfa|4|yes
US-WPT|Winous Point North Marsh|2011|2013|41.4646|-82.9962|175.00|WET|Dfa|10.10|849|US-WPT|Winous Point North Marsh|2011|2013|41.4646|-82.9962|175|10.1|849|Dfa|3|yes
US-Wrc|Wind River Crane Site|1998||45.8205|-121.9519|371.00|ENF|Csb|9.45|2452|US-Wrc|Wind River Crane Site|1998|NA|45.8205|-121.9519|371|9.45|2452|Csb|NA|yes
US-Ylw|Yellow Cab urban|2007||29.7894|-95.3536|14.00|URB|Cfa|20.00|1260|US-Ylw|Yellow Cab urban|2007|NA|29.7894|-95.3536|14|20|1260|Cfa|NA|no
